order_key,city_key,customer_key,stock_item_key,order_date_key,picked_date_key,salesperson_key,picker_key,package,quantity,unit_price,tax_rate,total_excluding_tax,tax_amount,total_including_tax
121,58,336,380,2013-10-07,2014-05-13,68,144,M,478,2217.1,21,2648.05,399.24,2221.79
122,7,119,504,2013-02-13,2015-10-07,147,105,S,804,732.21,20,4314.32,683.15,7596.72
123,20,90,447,2014-12-05,2015-04-04,167,142,S,675,3281.75,37,1183.5,255.22,4745.48
124,25,381,578,2013-09-15,2013-10-29,7,161,S,120,2834.01,33,9709.66,82.39,8620.93
125,27,66,414,2013-12-30,2014-06-24,118,57,S,605,2548.74,42,5310.68,65.65,6317.31
126,34,275,363,2013-08-22,2015-12-19,114,107,M,784,4934.47,7,2555.81,507.61,7622.07
127,80,114,636,2016-02-15,2014-11-15,101,71,L,668,4469.27,48,8700.08,172.7,4469.04
128,84,232,548,2015-05-16,2014-08-09,57,103,S,635,2999.0,45,921.41,107.94,6104.44
129,32,385,466,2015-06-04,2014-09-27,162,162,S,601,3421.16,62,628.25,987.51,7336.6
130,67,18,629,2013-05-09,2016-07-02,90,98,L,449,3688.6,6,509.81,141.54,4571.36
131,23,69,458,2013-06-27,2015-07-21,88,126,L,623,2367.25,56,6730.34,991.03,6164.01
132,15,369,475,2014-03-28,2015-11-11,88,24,L,14,2904.4,9,9959.32,249.29,7795.55
133,69,202,183,2015-03-30,2014-08-03,189,99,L,785,3359.99,23,731.0,429.33,1564.79
134,67,226,554,2014-08-13,2013-10-18,49,48,M,493,996.25,5,2447.97,205.17,1893.63
135,74,244,151,2016-10-26,2014-07-10,85,14,M,114,1169.61,51,2344.87,346.59,6981.85
136,79,217,377,2014-08-28,2015-02-09,28,195,S,838,1075.42,3,9398.03,465.17,7071.73
137,52,62,246,2015-06-20,2014-05-12,137,194,S,920,119.54,67,5972.71,996.08,2789.16
138,4,158,62,2015-02-23,2014-09-22,49,140,S,595,2294.75,5,6990.4,105.6,7850.92
139,56,137,27,2013-05-16,2015-10-11,197,123,L,17,1919.89,30,1413.88,266.45,4401.62
140,35,317,281,2016-07-30,2013-12-16,180,153,S,407,4431.1,39,1913.82,67.0,2934.46
141,83,184,641,2014-04-27,2014-03-09,135,153,M,644,1397.65,11,366.23,944.98,5657.26
142,81,43,260,2013-06-26,2014-06-24,31,92,S,673,1049.77,12,2328.04,657.27,994.95
143,34,275,652,2015-11-19,2013-12-09,194,162,M,340,1147.64,16,7002.75,744.57,8668.42
144,10,55,526,2013-06-01,2014-06-01,12,125,M,554,2165.44,66,9843.53,210.39,1530.86
145,70,131,602,2014-12-17,2016-12-26,66,115,S,39,2990.39,60,9293.07,295.28,1514.4
146,59,41,400,2013-11-18,2013-03-07,23,126,M,861,2400.59,66,3986.3,473.59,785.44
147,36,268,428,2015-12-19,2015-12-24,50,170,S,922,2506.88,56,4962.24,396.29,2574.83
148,53,325,647,2013-10-01,2013-09-17,198,181,S,76,2637.25,31,2362.7,899.51,4415.56
149,68,39,635,2014-07-18,2016-12-12,167,134,X,560,4320.39,61,7303.93,631.03,3099.48
150,27,100,616,2015-12-29,2014-02-12,120,9,S,958,4138.39,21,4464.87,867.17,2531.56
151,25,312,558,2014-11-20,2015-09-13,161,154,S,422,4537.58,5,3610.16,56.25,4979.99
152,12,243,645,2016-10-30,2015-01-05,11,133,XL,882,2107.23,64,5444.89,775.77,7595.51
153,85,107,547,2016-08-18,2015-08-08,111,91,M,681,1176.67,61,2568.54,222.32,8483.03
154,56,6,211,2016-03-11,2016-10-07,154,16,X,53,2695.27,15,4020.63,934.11,6460.69
155,45,196,645,2016-06-08,2016-04-01,6,206,XL,501,1451.73,32,3797.23,356.58,5928.28
156,20,386,13,2015-05-04,2016-06-28,187,2,L,374,2685.81,59,4307.71,554.87,4728.85
157,77,288,329,2014-11-05,2013-05-23,11,93,XL,752,2208.47,58,8657.46,487.74,5863.21
158,90,282,395,2016-01-06,2016-05-06,160,168,S,650,132.62,2,1005.99,974.48,980.51
159,93,26,469,2015-09-07,2015-02-27,137,23,S,232,2208.21,17,9883.33,832.98,928.12
160,46,106,189,2015-03-25,2013-10-16,149,23,M,973,550.98,69,7396.77,129.91,4948.04
161,9,379,41,2014-06-18,2014-03-24,184,49,M,275,1918.12,32,7633.26,531.57,5129.31
162,72,360,334,2016-04-05,2016-02-28,8,56,S,668,1933.51,51,5710.55,321.18,9634.39
163,3,289,249,2013-10-31,2015-03-08,175,130,S,763,1675.17,3,8560.07,341.72,4690.55
164,91,151,334,2015-11-09,2014-02-16,133,47,S,41,4518.15,21,8795.94,734.34,9106.5
165,75,75,426,2016-09-03,2013-09-15,11,52,S,929,1790.56,3,6106.29,803.03,7178.67
166,57,54,479,2016-12-27,2014-10-22,162,169,M,868,903.32,14,414.76,626.65,3066.95
167,79,203,515,2016-05-28,2013-11-04,9,132,S,483,3197.35,60,5561.03,781.9,9558.89
168,89,97,493,2013-04-03,2015-04-16,177,145,M,920,4662.88,34,8002.42,520.31,4212.4
169,58,250,175,2016-12-04,2016-03-15,112,195,S,259,2022.48,65,5336.41,353.38,7544.18
170,6,332,18,2013-06-23,2016-04-11,192,19,S,63,2919.59,55,5996.04,139.52,9929.45
171,14,183,7,2014-07-23,2014-06-01,120,140,M,383,4539.9,10,2616.44,674.83,1002.25
172,82,219,438,2015-10-03,2015-06-29,151,44,S,772,419.39,63,8190.47,95.35,4688.01
173,75,141,637,2014-01-18,2015-05-19,91,12,M,523,2897.67,62,3451.49,312.15,1721.85
174,79,166,85,2015-03-14,2013-11-11,159,126,S,957,1440.69,63,8637.26,529.44,8982.06
175,47,113,177,2014-09-23,2014-07-03,60,130,L,218,1788.35,20,3448.57,598.95,1415.92
176,56,247,245,2013-05-13,2016-01-09,173,205,L,316,3634.54,31,7665.57,482.14,9143.57
177,11,125,349,2013-03-22,2016-08-20,86,113,S,134,4838.15,21,1980.15,568.19,757.05
178,88,53,591,2015-03-08,2016-04-25,69,22,S,72,2896.39,31,3762.21,60.73,2782.76
179,16,194,469,2013-06-09,2015-08-20,17,60,S,965,3581.7,19,1559.11,287.59,8933.93
180,92,244,512,2016-03-26,2015-08-23,64,205,L,734,4301.24,38,6274.84,171.04,4219.84
181,35,78,17,2015-05-13,2015-12-13,164,102,S,267,1713.94,52,9058.49,790.0,4518.06
182,60,76,53,2013-10-29,2014-02-21,196,150,M,538,1955.29,33,551.58,129.23,1104.27
183,25,24,305,2013-05-03,2014-04-19,81,117,S,277,2158.95,33,8421.24,937.09,5140.9
184,41,37,203,2015-02-15,2015-08-21,12,120,S,295,3926.4,58,4144.38,736.48,9034.15
185,84,44,654,2016-12-08,2016-01-22,116,61,M,77,2266.24,14,4255.23,605.39,9843.01
186,13,178,38,2016-12-03,2013-12-22,45,84,L,371,4787.76,61,1556.11,610.08,9713.19
187,89,294,398,2014-05-20,2015-03-25,204,110,S,782,2689.51,56,6302.81,246.53,4554.39
188,81,170,173,2014-07-27,2015-08-17,70,74,S,10,809.14,56,8706.16,851.55,6304.7
189,78,352,650,2016-01-29,2014-06-25,141,69,L,224,774.86,28,4288.86,773.98,8227.68
190,64,292,614,2014-10-20,2015-09-01,85,137,S,647,3670.55,52,2099.8,89.22,1132.01
191,72,238,401,2014-11-18,2015-05-31,33,208,S,321,1287.77,7,458.24,727.75,6043.63
192,31,259,372,2013-08-15,2016-06-27,79,111,M,401,3782.76,35,3701.49,216.22,8221.21
193,4,210,540,2013-08-01,2016-01-14,210,45,S,282,3253.52,46,4836.7,913.62,2400.39
194,32,155,264,2016-12-03,2014-11-07,22,115,S,47,4620.43,60,7956.92,248.08,3983.73
195,57,218,639,2015-10-19,2013-05-07,132,172,S,681,1085.82,17,4721.87,100.56,4532.21
196,79,118,269,2014-03-25,2014-05-30,114,56,M,376,4085.34,53,4832.31,607.91,8240.26
197,27,120,171,2015-02-07,2016-06-07,30,206,S,798,3482.48,34,671.86,207.2,9761.48
198,94,238,331,2014-10-14,2014-01-19,142,60,XL,970,165.41,32,9539.27,855.74,2543.05
199,11,113,442,2016-05-28,2014-09-26,77,93,L,727,647.45,22,6698.74,165.34,7863.16
200,44,268,436,2013-07-09,2015-01-28,24,178,M,12,1520.59,45,2104.99,428.09,1572.94
201,55,328,623,2016-01-20,2015-05-18,36,141,X,459,817.54,13,6665.96,967.47,3709.82
202,35,191,402,2016-11-09,2013-02-07,171,62,S,366,433.74,23,3514.17,568.51,3984.43
203,86,77,233,2015-10-06,2014-08-16,210,207,S,293,1692.71,70,1480.23,66.67,8880.99
204,93,48,635,2014-03-29,2013-01-02,76,113,S,72,2179.97,55,2101.68,424.19,3062.87
205,3,26,579,2013-05-05,2014-12-14,195,145,M,664,120.55,61,1221.87,313.97,5332.34
206,52,191,575,2016-06-04,2013-06-24,1,113,S,769,462.48,1,9853.19,152.35,7669.17
207,60,306,135,2013-03-11,2013-11-22,111,10,M,620,3696.06,47,6503.86,718.59,1730.63
208,11,341,161,2016-04-03,2016-04-10,101,1,S,496,4631.0,22,6356.14,480.36,5349.09
209,50,87,80,2016-11-13,2015-03-12,103,22,S,444,1203.38,36,7931.27,610.82,1890.72
210,58,102,240,2015-08-11,2016-01-02,155,75,M,33,4601.92,68,2898.87,532.67,187.65
211,26,269,71,2014-10-19,2015-09-30,152,143,S,898,3640.5,66,3804.14,122.51,3576.27
212,59,324,427,2016-07-30,2015-04-18,74,38,S,183,4797.13,39,6737.61,290.63,9668.01
213,23,74,650,2015-04-03,2016-03-23,164,71,S,789,426.82,53,2779.87,476.83,8867.99
214,43,389,314,2014-04-18,2013-05-18,102,185,L,489,3771.87,57,153.52,914.21,8159.24
215,82,138,538,2013-04-23,2014-06-01,65,49,S,44,128.38,7,3278.15,282.75,3140.28
216,12,375,77,2014-04-30,2015-03-27,103,57,S,134,3642.32,26,3925.13,142.55,6883.97
217,49,292,263,2013-08-22,2016-03-18,132,154,M,847,1193.6,2,8133.18,312.94,5901.2
218,42,60,160,2016-10-31,2015-01-05,198,63,S,625,1265.74,61,8287.33,843.68,8103.2
219,45,119,625,2013-08-04,2015-08-03,152,8,S,469,1895.21,42,4111.87,996.98,6913.4
220,19,118,528,2015-06-18,2016-11-01,64,122,M,62,4199.17,68,4503.75,841.87,1692.39
221,70,168,526,2015-02-13,2016-09-08,167,98,S,621,670.42,47,3552.2,851.63,8416.73
222,74,296,170,2013-05-01,2013-01-25,173,194,X,65,2516.42,29,5256.85,725.19,5095.7
223,83,309,509,2015-09-10,2014-04-01,185,173,S,690,3581.57,47,7189.63,191.0,1661.23
224,36,265,311,2015-12-30,2015-01-05,40,27,M,714,3752.55,10,5520.2,348.96,6763.05
225,12,308,266,2016-05-29,2015-07-08,177,158,S,13,3437.47,50,4260.4,302.37,6844.0
226,16,248,178,2013-12-08,2016-05-26,83,12,XL,785,777.03,42,7354.27,950.48,1577.86
227,50,328,581,2015-11-09,2014-06-29,36,3,L,487,53.3,49,7212.14,976.33,2639.44
228,9,265,353,2013-12-10,2014-12-01,149,117,S,312,1298.35,34,253.35,238.28,5956.95
229,45,245,286,2016-02-20,2014-03-24,62,71,S,42,4881.02,5,846.17,501.29,6792.0
230,82,48,480,2016-09-06,2013-04-08,199,5,S,96,1060.49,45,6661.06,656.99,8212.06
231,80,277,527,2015-06-26,2015-08-14,42,154,S,75,1860.94,62,3572.87,114.41,6272.88
232,55,101,400,2014-12-31,2014-02-24,95,172,S,478,642.17,15,5620.07,770.35,175.14
233,18,23,19,2014-12-03,2015-11-28,144,196,M,740,4401.53,45,8639.65,79.18,3292.07
234,38,261,210,2013-10-31,2015-03-10,137,194,M,766,2685.88,68,2528.38,746.98,9539.63
235,61,220,392,2013-12-12,2016-09-14,157,133,S,380,1182.1,28,2545.89,642.12,4952.09
236,56,130,541,2013-06-04,2015-07-24,195,195,L,449,4272.11,48,1680.76,859.42,2249.62
237,42,30,85,2015-09-06,2014-04-25,185,73,M,95,1463.02,55,6833.0,360.17,4075.68
238,30,73,512,2013-11-16,2013-09-25,200,192,L,184,3834.43,24,8064.14,517.57,3599.53
239,83,140,535,2014-10-21,2014-08-28,87,100,S,322,4203.9,13,1588.14,54.64,7190.03
240,29,302,632,2014-11-28,2015-12-25,189,173,S,140,2268.55,63,8902.28,336.12,7190.51
241,68,152,198,2014-10-15,2016-01-05,91,46,S,805,1388.2,56,9819.66,354.88,9372.13
242,42,220,152,2014-02-05,2016-09-22,109,40,S,262,3670.26,10,5969.87,710.68,1727.85
243,81,167,474,2013-01-07,2015-07-08,98,30,M,875,4383.72,59,9283.48,197.31,7286.92
244,13,12,590,2015-05-29,2016-10-17,181,28,S,262,4790.69,22,7109.84,235.39,9665.86
245,56,103,356,2014-04-15,2016-08-15,156,190,S,463,1246.5,69,819.41,534.33,5327.72
246,88,130,587,2013-02-22,2013-05-20,132,55,L,833,2553.6,17,2174.34,864.25,4087.44
247,2,8,279,2014-04-19,2015-06-13,46,152,S,592,463.96,17,6225.98,688.67,8108.62
248,86,388,523,2016-07-25,2014-06-03,49,44,M,455,2302.32,49,9796.14,811.83,767.88
249,38,218,124,2015-09-03,2013-10-12,174,189,S,899,2673.08,19,1663.41,802.16,6014.46
250,22,17,412,2016-05-30,2013-04-02,63,132,M,272,194.44,65,7860.26,310.57,1434.95
251,3,376,605,2014-06-19,2016-07-10,112,140,XL,567,2733.42,9,5817.58,939.41,7769.3
252,78,85,272,2014-09-20,2016-11-15,119,17,S,891,3571.67,1,5528.51,843.55,5631.01
253,76,101,488,2015-08-15,2015-03-28,5,193,S,946,2403.34,58,8292.39,530.29,8470.36
254,91,146,511,2016-02-23,2013-10-13,123,169,S,618,1309.28,61,786.69,252.91,6576.96
255,37,186,448,2015-08-28,2013-07-26,84,200,M,805,4177.77,13,5447.34,960.17,5724.12
256,73,181,441,2016-02-04,2015-05-29,166,193,L,434,4917.61,14,4651.1,489.44,7024.39
257,25,92,84,2013-05-14,2015-11-27,186,31,S,709,3806.08,53,5963.92,418.4,4189.31
258,46,118,40,2016-09-01,2014-04-24,62,88,S,463,3564.23,41,6191.98,448.94,2148.61
259,33,200,316,2014-11-05,2016-12-18,187,64,M,766,4538.66,50,6261.74,585.8,2416.42
260,93,339,364,2016-08-05,2016-09-15,104,158,S,835,3454.96,36,451.11,370.86,8328.6
261,87,91,484,2014-04-05,2014-01-31,99,184,X,11,3796.4,55,6014.04,687.87,6044.98
262,85,229,344,2015-09-28,2013-01-24,43,98,S,296,741.2,69,9563.52,554.35,9953.51
263,5,190,603,2016-09-07,2014-02-03,56,125,L,305,3770.45,61,937.68,338.75,7596.09
264,76,299,41,2013-11-20,2014-02-04,82,127,M,600,1794.09,34,4553.26,586.5,5506.55
265,23,266,287,2013-05-25,2014-11-02,169,79,M,684,3216.49,8,6030.43,445.06,4356.23
266,50,279,239,2013-03-27,2013-12-03,112,9,M,877,2756.4,18,4434.03,558.77,2291.13
267,37,94,398,2015-04-03,2015-02-17,209,92,X,430,2010.29,58,5841.89,175.01,3109.19
268,3,22,99,2014-04-15,2014-08-11,56,156,S,92,2021.05,8,9546.24,299.74,7443.58
269,27,12,118,2015-04-23,2015-12-08,10,52,S,715,530.84,23,2519.24,574.42,2082.17
270,81,293,36,2013-12-28,2016-02-06,14,76,S,94,4461.59,3,412.17,875.78,104.9
271,34,377,428,2015-10-07,2015-01-14,7,11,X,236,3473.56,30,6346.37,221.1,8983.84
272,70,305,571,2015-09-15,2014-04-19,16,11,X,957,1138.23,3,8627.4,466.33,6157.27
