"row ID","City_Key","City","State_Province","Country","Continent","Sales_Territory","Region","Subregion","Latest_Recorded_Population"
"Row46",46,"El Granada","California","United States","North America","Far West","Americas","Northern America",5467
"Row47",47,"El Indio","Texas","United States","North America","Southwest","Americas","Northern America",190
"Row48",48,"El Jebel","Colorado","United States","North America","Rocky Mountain","Americas","Northern America",3801
"Row49",49,"El Lago","Texas","United States","North America","Southwest","Americas","Northern America",2706
"Row50",50,"El Mang�","Puerto Rico (US Territory)","United States","North America","External","Americas","Northern America",1482
"Row51",51,"El Mirage","Arizona","United States","North America","Southwest","Americas","Northern America",31797
"Row52",52,"El Monte","California","United States","North America","Far West","Americas","Northern America",113475
"Row53",53,"El Moro","Colorado","United States","North America","Rocky Mountain","Americas","Northern America",221
"Row54",54,"El Negro","Puerto Rico (US Territory)","United States","North America","External","Americas","Northern America",1075
"Row55",55,"El Nido","California","United States","North America","Far West","Americas","Northern America",330
"Row56",56,"El Ojo","Puerto Rico (US Territory)","United States","North America","External","Americas","Northern America",1478
"Row57",57,"El Paraiso","Puerto Rico (US Territory)","United States","North America","External","Americas","Northern America",1716
"Row58",58,"El Paso","Texas","United States","North America","Southwest","Americas","Northern America",649121
"Row59",59,"El Paso","Wisconsin","United States","North America","Great Lakes","Americas","Northern America",0
"Row60",60,"El Paso","Illinois","United States","North America","Great Lakes","Americas","Northern America",2810
"Row61",61,"El Paso","Arkansas","United States","North America","Southeast","Americas","Northern America",0
"Row62",62,"El Paso de Robles","California","United States","North America","Far West","Americas","Northern America",29793
"Row63",63,"El Portal","California","United States","North America","Far West","Americas","Northern America",474
"Row64",64,"El Portal","Florida","United States","North America","Southeast","Americas","Northern America",2325
"Row65",65,"El Porvenir","New Mexico","United States","North America","Southwest","Americas","Northern America",0
"Row66",66,"El Prado","New Mexico","United States","North America","Southwest","Americas","Northern America",0
"Row67",67,"El Rancho","Colorado","United States","North America","Rocky Mountain","Americas","Northern America",0
"Row68",68,"Austerlitz","New York","United States","North America","Mideast","Americas","Northern America",0
"Row69",69,"Brown Deer","Wisconsin","United States","North America","Great Lakes","Americas","Northern America",11999
"Row70",70,"Crofton","Maryland","United States","North America","Mideast","Americas","Northern America",27348
"Row71",71,"Carter","Oklahoma","United States","North America","Southwest","Americas","Northern America",256
"Row72",72,"El Rancho","New Mexico","United States","North America","Southwest","Americas","Northern America",1199
"Row73",73,"El Refugio","Texas","United States","North America","Southwest","Americas","Northern America",331
"Row74",74,"El Reno","Oklahoma","United States","North America","Southwest","Americas","Northern America",16749
"Row75",75,"El Rio","California","United States","North America","Far West","Americas","Northern America",7198
"Row76",76,"El Rito","New Mexico","United States","North America","Southwest","Americas","Northern America",808
"Row77",77,"El Sauz","Texas","United States","North America","Southwest","Americas","Northern America",0
"Row78",78,"El Segundo","California","United States","North America","Far West","Americas","Northern America",16654
"Row79",79,"El Sobrante","California","United States","North America","Far West","Americas","Northern America",12669
"Row80",80,"El Toro","Texas","United States","North America","Southwest","Americas","Northern America",0
"Row81",81,"El Toro","California","United States","North America","Far West","Americas","Northern America",0
"Row82",82,"El Tumbao","Puerto Rico (US Territory)","United States","North America","External","Americas","Northern America",2511
"Row83",83,"El Vado","New Mexico","United States","North America","Southwest","Americas","Northern America",0
"Row84",84,"El Verano","California","United States","North America","Far West","Americas","Northern America",4123
"Row85",85,"Elaine","Arkansas","United States","North America","Southeast","Americas","Northern America",636
"Row86",86,"Eland","Wisconsin","United States","North America","Great Lakes","Americas","Northern America",202
"Row87",87,"Elba","New York","United States","North America","Mideast","Americas","Northern America",676
"Row88",88,"Elba","Minnesota","United States","North America","Plains","Americas","Northern America",152
"Row89",89,"Elba","Alabama","United States","North America","Southeast","Americas","Northern America",3940
"Row90",90,"Elba","Nebraska","United States","North America","Plains","Americas","Northern America",215
"Row91",91,"Austin","Kentucky","United States","North America","Southeast","Americas","Northern America",0
"Row92",92,"Austin","Montana","United States","North America","Rocky Mountain","Americas","Northern America",0
"Row93",93,"Austin","Texas","United States","North America","Southwest","Americas","Northern America",790390
"Row94",94,"Austin","Nevada","United States","North America","Far West","Americas","Northern America",192
"Row95",95,"Austin","Arkansas","United States","North America","Southeast","Americas","Northern America",2038
"Row96",96,"Austin","Indiana","United States","North America","Great Lakes","Americas","Northern America",4295
"Row97",97,"Austin","Pennsylvania","United States","North America","Mideast","Americas","Northern America",562
